選手名,年齢,級班,府県,ホーム,期別,タイプ１,タイプ２,先行意欲,番手経験,先頭を残す動きは？,飛び付き可能性,並走可能性,横の動きへの対応（横をする・横をされた時への対応力）,スピード（縦脚含む）,仕掛け,スタミナ,スタート・位置取り評価,単騎での動き,競輪IQ（ラインの意識）,暴走の有無（斜行や激しい横の動きなど）,相性◯バンク,相性✕バンク,不得意季節,コメント
金澤 幸司,40,S級2班,福島,いわき平,91期,追い込み,,✕,◯,△,△,✕,△,△,✕,△,△,△,◯,✕,,,,
金澤 竜二,40,S級2班,福島,いわき平,91期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
金山 栄治,51,S級2班,滋賀,,72期,追い込み,,✕,◯,△,✕,✕,△,△,✕,△,△,△,◯,✕,,,,
金成 和幸,46,S級2班,福島,いわき平,88期,追い込み,,✕,◯,△,△,✕,△,△,✕,△,△,△,◯,✕,,,,
金子 真也,53,S級2班,群馬,前橋,69期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
金子 哲大,37,S級2班,埼玉,大宮,95期,自在,,◯,◯,△,✕,✕,△,◯,◯,△,△,△,◯,✕,,,,
金子 幸央,32,S級2班,栃木,宇都宮,101期,自在,,△,◯,◯,✕,✕,◯,◯,△,△,◯,✕,◯,✕,奈良,,,
神尾 敬冬,25,S級2班,静岡,,123期,先行,捲,◯,◯,△,△,✕,△,◯,◯,△,△,△,◯,✕,,,,
上吹越 直樹,43,S級2班,鹿児島,,86期,追い込み,,✕,◯,◯,✕,✕,△,◯,△,△,✕,✕,◯,✕,,,,
河合 佑弥,31,S級2班,東京,京王閣,113期,自在,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,前橋,,,
川上 隆義,25,S級2班,栃木,宇都宮,125期,先行,捲,◯,◯,△,△,✕,△,◯,◯,△,△,△,◯,✕,,,,
川口 聖二,31,S級2班,岐阜,岐阜,103期,自在,,✕,◯,◯,◯,◯,◯,△,△,△,◯,✕,◯,✕,,,,
川口 満宏,58,S級2班,東京,松戸,58期,追い込み,,✕,◯,◯,✕,✕,◯,◯,✕,△,△,△,◯,✕,,,,
川口 雄太,28,S級2班,徳島,小松島,111期,自在,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
川越 勇星,28,S級2班,神奈川,平塚,111期,先行,捲,△,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
河崎 正晴,24,S級2班,熊本,熊本,121期,先行,捲,△,✕,,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
川村 晃司,49,S級2班,京都,向日町,85期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
河村 雅章,42,S級2班,東京,立川,92期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
神田 龍,36,S級2班,三重,松阪,105期,自在,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
菅野 航基,24,S級2班,宮城,,119期,先行,,△,✕,,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,F1選手。ただ先行型とは言いにくい。買いづらい選手ではある。
菊谷 信一,40,S級2班,大阪,,90期,追い込み,,✕,◯,△,✕,✕,△,△,✕,△,△,△,◯,✕,,,,
菊地 圭尚,45,S級2班,北海道,函館,89期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,◯,✕,◯,✕,,,,
岸澤 賢太,38,S級2班,埼玉,大宮,91期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
貴志 修己,29,S級2班,和歌山,和歌山,117期,先行,捲,△,✕,,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
北野 武史,53,S級2班,石川,,78期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
北村 信明,39,S級2班,徳島,小松島,93期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
城戸 俊潔,27,S級2班,岡山,玉野,115期,自在,,△,◯,◯,✕,✕,△,△,△,△,◯,✕,◯,✕,奈良,,,
木村 幸希,33,S級2班,広島,広島,109期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
木村 佑来,23,S級2班,宮城,,119期,先行,捲,◯,✕,,✕,✕,△,◯,△,△,◯,✕,◯,✕,,,冬苦手,ムラッ気があるが先行したら強い。ただまだS級への慣れが必要とは感じる。
久島 尚樹,34,S級2班,宮崎,,100期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
窪木 一茂,36,S級2班,福島,いわき平,119期,自在,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,ナショナル中・長距離専門。
久保田 泰弘,30,S級2班,山口,防府,111期,自在,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
熊崎 麻人,25,S級2班,埼玉,大宮,123期,先行,捲,◯,◯,△,✕,✕,△,◯,◯,△,◯,△,◯,✕,,,,
栗田 貴徳,42,S級2班,愛媛,松山,93期,追い込み,,✕,◯,△,△,△,◯,◯,△,△,△,◯,◯,✕,,,,
栗山 和樹,28,S級2班,岐阜,大垣,125期,先行,捲,◯,✕,,✕,✕,△,◯,△,△,◯,✕,◯,✕,京王閣,,,とにかくやらかす。先輩を連れても消極的。先行意欲はあるんだろうけど積極的にいかない。他地区の郡司からも指摘される始末。自分だけのレースをするのかな？岐阜らしいと言われれば納得。
栗山 俊介,37,S級2班,奈良,奈良,103期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
黒田 淳,40,S級2班,岡山,玉野,97期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
桑名 僚也,27,S級2班,埼玉,大宮,119期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,◯,✕,✕,✕,,,,
桑原 亮,40,S級2班,福岡,久留米,91期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
小池 千啓,27,S級2班,栃木,宇都宮,119期,先行,捲,◯,◯,△,△,△,△,◯,◯,△,△,△,◯,✕,,,,
幸田 望夢,25,S級2班,栃木,宇都宮,115期,自在,,◯,✕,,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
河野 通孝,42,S級2班,茨城,取手,88期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
古賀 勝大,34,S級2班,和歌山,和歌山,115期,自在,,△,◯,◯,◯,◯,◯,◯,◯,△,◯,◯,◯,✕,,,,
小酒 大勇,31,S級2班,宮崎,いわき平,103期,自在,,△,◯,△,△,✕,△,△,✕,△,△,△,◯,✕,,,,
小堺 浩二,42,S級2班,石川,,91期,追い込み,捲,✕,◯,◯,✕,✕,△,△,△,△,◯,◯,◯,✕,,,,
小島 歩,36,S級2班,神奈川,小田原,97期,追い込み,,✕,◯,△,✕,✕,◯,△,✕,△,△,△,◯,✕,,,,
小嶋 敬二,55,S級2班,石川,,74期,自在,,△,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
小谷 実,38,S級2班,京都,向日町,93期,追い込み,,✕,◯,◯,✕,✕,△,△,✕,△,△,△,◯,✕,,,,
児玉 慎一郎,51,S級2班,香川,高松,76期,追い込み,,✕,◯,△,△,△,△,△,✕,△,△,△,◯,✕,,,,香川県支部支部長
小玉 拓真,35,S級2班,岡山,玉野,98期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
児玉 虎之介,24,S級2班,岐阜,大垣,123期,先行,捲,◯,✕,△,△,◯,△,◯,◯,△,◯,◯,◯,✕,,,,
小橋 明紀,52,S級2班,青森,青森,73期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
小林 潤二,53,S級2班,群馬,前橋,75期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
小林 大介,47,S級2班,群馬,前橋,79期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
小林 弘和,42,S級2班,佐賀,武雄,91期,追い込み,,✕,◯,◯,✕,✕,△,◯,△,△,✕,✕,◯,✕,,,,
小林 稜武,32,S級2班,栃木,松戸,113期,自在,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
小林 令,29,S級2班,山梨,,109期,追い込み,,✕,◯,◯,✕,✕,◯,◯,✕,△,◯,△,◯,✕,,,,
小堀 敢太,25,S級2班,北海道,函館,125期,先行,捲,◯,✕,,✕,✕,△,△,△,△,◯,✕,◯,✕,,,,A級で圧倒的な成績を残しS級に来たがグレードはまだ慣れが必要。先行意欲はあるがかまし先行もするので相手選手によっては不発もあり得る。
小松原 正登,27,S級2班,福井,福井,117期,先行,捲,△,◯,△,△,△,△,△,◯,△,△,△,◯,✕,,,冬苦手,
薦田 将伍,27,S級2班,愛媛,松山,113期,先行,捲,◯,◯,△,△,△,△,△,◯,△,△,△,◯,✕,,,,
近藤 翔馬,27,S級2班,愛媛,松山,119期,自在,,◯,✕,,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
近藤 俊明,47,S級2班,神奈川,平塚,87期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
近藤 夏樹,38,S級2班,千葉,千葉,97期,自在,,△,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
近藤 隆司,41,S級2班,千葉,松戸,90期,追い込み,,△,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
今野 有樹,28,S級2班,愛媛,松山,115期,追い込み,,✕,◯,✕,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
紺野 哲也,52,S級2班,宮城,,69期,追い込み,,✕,◯,◯,✕,✕,◯,△,△,△,✕,✕,◯,✕,,,,しつこいぐらいブロックする。先行している選手が逃げ切る脚があるのなら逃げ残りも買っておく。
合志 正臣,48,S級2班,熊本,熊本,81期,追い込み,,✕,◯,◯,△,△,◯,◯,△,△,△,△,◯,✕,,,,熊本工業野球部出身。元中日荒木雅博と同級生。
後藤 悠,30,S級2班,岩手,,115期,自在,,△,◯,✕,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
齋木 翔多,26,S級2班,静岡,静岡,115期,先行,捲,◯,◯,✕,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
才迫 開,33,S級2班,広島,広島,101期,自在,,△,◯,◯,✕,✕,◯,△,△,△,✕,◯,◯,✕,,,,
斉藤 樂,23,S級2班,宮城,,123期,先行,捲,◯,✕,,△,◯,△,◯,◯,△,△,△,◯,✕,,,,
齊藤 竜也,50,S級2班,神奈川,川崎,73期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
齋藤 登志信,52,S級2班,宮城,,80期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
佐伯 翔,38,S級2班,福島,いわき平,97期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
佐伯 亮輔,31,S級2班,岡山,玉野,113期,自在,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
坂田 康季,27,S級2班,佐賀,武雄,121期,先行,捲,◯,✕,,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,基本的には先行をしてくれる。安心感はある。時と場合によっては捲る時はあるが自分のスタイルを貫いてくれる。グレードでの慣れはまだまだなので９車ではまだ厳しい。
佐方 良行,44,S級2班,熊本,熊本,97期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
阪本 和也,30,S級2班,長崎,佐世保,115期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
坂本 修一,37,S級2班,岡山,玉野,99期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
坂本 周輝,34,S級2班,青森,青森,100期,先行,,△,◯,✕,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
坂本 周作,33,S級2班,青森,,105期,先行,,△,◯,✕,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
坂本 貴史,36,S級2班,青森,,94期,捲,,✕,◯,✕,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,捲りが圧倒的に多いので自力でも逃げない前提で考えると良い。
坂本 紘規,29,S級2班,青森,,117期,先行,,◯,◯,✕,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
坂本 亮馬,40,S級2班,福岡,久留米,90期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
佐川 翔吾,41,S級2班,大阪,奈良,94期,自在,,△,◯,△,△,△,◯,◯,◯,△,△,◯,◯,✕,,,,
櫻井 学,46,S級2班,群馬,前橋,84期,自在,,△,◯,△,✕,✕,◯,◯,✕,△,△,△,◯,✕,,,,
佐々木 和紀,28,S級2班,神奈川,川崎,117期,自在,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
佐々木 堅次,30,S級2班,福島,いわき平,113期,自在,,△,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
佐々木 翔一,38,S級2班,佐賀,武雄,93期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
佐々木 則幸,49,S級2班,高知,高知,79期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,高知支部支部長
笹倉 慎也,40,S級2班,富山,富山,91期,追い込み,,✕,◯,◯,✕,✕,△,△,✕,△,△,△,◯,✕,,,,
佐藤 和也,45,S級2班,青森,青森,95期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
佐藤 幸治,40,S級2班,長崎,佐世保,92期,自在,,◯,◯,◯,△,△,◯,◯,◯,△,◯,△,◯,✕,,,,
佐藤 真一,51,S級2班,東京,京王閣,79期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
佐藤 愼太郎,47,S級2班,福島,,83期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
佐藤 壮,33,S級2班,千葉,千葉,100期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,◯,✕,◯,✕,,,,
佐藤 壮志,22,S級2班,熊本,熊本,123期,先行,,◯,✕,,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,先行がメインだが状況においてはかましや捲りもあるので先輩が付いていても読めない部分はある。全体的に力不足感は否めないので買いにくさはある。
佐藤 雅春,38,S級2班,宮城,,94期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
佐藤 康紀,51,S級2班,青森,,73期,自在,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
佐藤 竜太,24,S級2班,愛知,名古屋,119期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
佐藤 龍二,37,S級2班,神奈川,平塚,94期,追い込み,,✕,◯,◯,✕,✕,◯,◯,✕,△,◯,◯,◯,✕,,,,
佐野 梅一,49,S級2班,京都,向日町,78期,追い込み,,✕,◯,◯,✕,✕,△,△,✕,△,△,△,◯,✕,,,,
佐山 寛明,38,S級2班,奈良,奈良,113期,先行,捲,◯,◯,△,◯,◯,△,△,◯,△,△,△,◯,✕,,,,
澤田 義和,52,S級2班,兵庫,,69期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
塩島 嵩一朗,25,S級2班,神奈川,川崎,125期,先行,,△,✕,,✕,✕,△,◯,△,△,◯,✕,◯,✕,,,,F1では結果を残せるがグレードはまだまだ。走りに粗さもあり狙いにくい。戦法に一貫性がなく先輩が付いていても厳しい時はある。
篠田 幸希,26,S級2班,群馬,前橋,123期,先行,,△,✕,,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,先行がメインだが状況においてはかましや捲りもあるので先輩が付いていても読めない部分はある。全体的に力不足感は否めないので買いにくさはある。
柴崎 俊光,40,S級2班,三重,四日市,91期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
柴田 洋輔,39,S級2班,東京,松戸,92期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
島田 竜二,51,S級2班,熊本,熊本,76期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
清水 一幸,39,S級2班,大阪,岸和田,109期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
清水 剛志,34,S級2班,福井,福井,103期,自在,,△,◯,◯,△,△,◯,◯,◯,△,◯,△,◯,✕,,,,
志村 太賀,42,S級2班,山梨,,90期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
志村 龍己,39,S級2班,山梨,,98期,追い込み,,✕,◯,◯,✕,✕,◯,◯,✕,△,△,△,◯,✕,,,,
庄子 信弘,46,S級2班,宮城,,84期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
新村 穣,31,S級2班,神奈川,川崎,119期,先行,捲,△,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,一時の強さが失われてきた。逃げる機会もあるが逃げ残る事も少なく読めない。
城 幸弘,39,S級2班,山梨,,96期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
菅原 晃,46,S級2班,大分,別府,85期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
菅原 大也,34,S級2班,神奈川,平塚,107期,自在,,◯,◯,◯,✕,✕,△,△,◯,△,◯,✕,◯,✕,,,,
菅原 裕太,34,S級2班,静岡,,100期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
杉本 正隆,39,S級2班,茨城,取手,96期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
杉山 悠也,42,S級2班,秋田,,89期,追い込み,,✕,◯,◯,△,✕,◯,△,✕,△,△,△,◯,✕,,,,
鈴木 薫,26,S級2班,東京,京王閣,115期,自在,,△,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
鈴木 謙太郎,40,S級2班,茨城,取手,90期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,茨城支部支部長
鈴木 幸紀,49,S級2班,三重,四日市,78期,追い込み,,✕,◯,△,✕,✕,△,△,✕,△,△,△,◯,✕,,,,
鈴木 浩太,28,S級2班,千葉,千葉,119期,自在,,△,◯,✕,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
鈴木 輝大,30,S級2班,東京,西武園,113期,自在,,△,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,俳優業と2足のわらじ。
鈴木 伸之,45,S級2班,愛知,豊橋,87期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
鈴木 裕,40,S級2班,千葉,千葉,92期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
鈴木 陸来,28,S級2班,静岡,静岡,117期,自在,,△,◯,✕,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
鈴木 涼介,28,S級2班,福島,,115期,自在,,△,◯,✕,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
須藤 悟,36,S級2班,千葉,千葉,99期,追い込み,,✕,◯,△,✕,✕,△,△,✕,△,◯,△,◯,✕,,,,
角 令央奈,38,S級2班,福岡,久留米,98期,追い込み,捲,✕,◯,◯,✕,✕,△,◯,△,△,✕,✕,◯,✕,,,,
関 貴之,42,S級2班,茨城,取手,93期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
瀬戸 晋作,32,S級2班,長崎,佐世保,107期,自在,,△,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
外田 心斗,27,S級2班,愛媛,松山,115期,自在,,△,◯,✕,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
染谷 幸喜,37,S級2班,千葉,松戸,111期,自在,,△,◯,✕,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
高木 和仁,51,S級2班,福岡,久留米,76期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
高塩 讓次,42,S級2班,栃木,宇都宮,90期,追い込み,,✕,◯,△,✕,✕,△,△,✕,△,◯,△,◯,✕,,,,
高田 修汰,25,S級2班,福井,福井,115期,先行,捲,△,✕,,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
高津 晃治,46,S級2班,岡山,玉野,87期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
高橋 和也,39,S級2班,愛知,名古屋,91期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
高橋 舜,24,S級2班,宮城,,125期,先行,,◯,✕,✕,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
高橋 雅之,43,S級2班,千葉,松戸,90期,追い込み,,✕,◯,◯,✕,✕,△,△,✕,△,△,△,◯,✕,,,,
高原 仁志,45,S級2班,徳島,小松島,85期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
田口 勇介,25,S級2班,秋田,,119期,追い込み,,✕,◯,✕,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
竹内 翼,34,S級2班,広島,広島,109期,自在,,◯,◯,✕,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
竹内 雄作,38,S級2班,岐阜,大垣,99期,先行,捲,◯,◯,△,◯,◯,△,◯,◯,△,◯,△,◯,✕,,,,
武田 豊樹,51,S級2班,茨城,取手,88期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,元スピードスケート出身選手
武田 亮,26,S級2班,東京,立川,115期,自在,,△,◯,✕,✕,✕,△,△,△,△,◯,✕,◯,✕,,,,
竹村 勇祐,35,S級2班,秋田,,96期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
竹元 健竜,28,S級2班,福岡,久留米,115期,自在,,△,◯,△,△,△,△,△,△,△,△,△,◯,✕,,,,
竹山 陵太,40,S級2班,宮城,,91期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
太刀川 一成,45,S級2班,千葉,千葉,100期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
立花 昌也,26,S級2班,青森,,123期,先行,捲,◯,◯,◯,△,✕,◯,◯,◯,△,△,◯,◯,✕,,,,
立部 楓真,27,S級2班,佐賀,武雄,115期,先行,捲,△,✕,,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
舘 泰守,49,S級2班,愛知,名古屋,80期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
田中 大我,26,S級2班,奈良,奈良,115期,先行,捲,△,✕,,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
田中 晴基,39,S級2班,千葉,松戸,90期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
田中 誠,42,S級2班,福岡,久留米,89期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
田中 陽平,35,S級2班,熊本,熊本,97期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
棚瀬 義大,25,S級2班,岐阜,岐阜,123期,先行,,△,✕,,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,先行がメインだが状況においてはかましや捲りもあるので先輩が付いていても読めない部分はある。全体的に力不足感は否めないので買いにくさはある。
棚橋 勉,44,S級2班,岡山,玉野,96期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
谷口 力也,28,S級2班,熊本,熊本,119期,自在,,△,◯,✕,◯,✕,△,△,△,△,✕,✕,◯,✕,,,,
谷田 泰平,48,S級2班,岐阜,大垣,93期,追い込み,,✕,◯,△,✕,✕,△,△,✕,△,△,△,◯,✕,,,,
田村 大,27,S級2班,宮崎,,119期,先行,捲,△,◯,△,△,△,△,△,△,△,△,△,◯,✕,,,,
月森 亮輔,33,S級2班,岡山,玉野,101期,自在,,△,◯,◯,✕,✕,◯,△,△,△,◯,✕,◯,✕,,,,
土屋 壮登,38,S級2班,埼玉,大宮,101期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
土屋 裕二,49,S級2班,静岡,伊東,81期,追い込み,,✕,◯,△,✕,✕,△,△,✕,△,△,△,◯,✕,,,,
堤 洋,49,S級2班,徳島,小松島,75期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
津村 洸次郎,34,S級2班,福岡,久留米,101期,自在,,△,◯,△,△,△,△,◯,◯,△,△,◯,◯,✕,,,,
寺沼 拓摩,26,S級2班,東京,京王閣,115期,追い込み,,△,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,番手時先行しているならば先行選手と大きく車間を開け援護するがそのまま差せずに沈むときがある。
照井 拓成,29,S級2班,岩手,,115期,自在,,△,◯,✕,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
出澤 拓也,34,S級2班,神奈川,川崎,111期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
東矢 昇太,39,S級2班,熊本,熊本,98期,追い込み,,✕,◯,◯,△,△,◯,◯,△,△,△,◯,◯,✕,,,,
徳田 匠,28,S級2班,京都,向日町,119期,先行,,△,✕,,✕,✕,△,△,△,△,◯,✕,◯,✕,,,,グレードでもしっかり先行するし積極性があり良い。ただ競争得点が低く枠が悪くなり、展開が向かないことが多い
戸田 洋平,42,S級2班,岡山,玉野,92期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
友定 祐己,46,S級2班,岡山,玉野,82期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
内藤 高裕,37,S級2班,東京,西武園,96期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
内藤 久文,33,S級2班,愛知,豊橋,117期,先行,捲,◯,◯,✕,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,徹底先行型。A級時代から追いかけているが逃げれば強い。ただS級ではもう少し慣れが必要。叔父は元プロ野球選手のギャオス内藤。
中石 湊,20,S級2班,北海道,函館,125期,先行,捲,◯,✕,,✕,✕,△,◯,△,△,◯,✕,◯,✕,,,,ナショナル所属もありこの力はあるが、ラインの意識はまだ低い。先輩が付いていてもかます事も多いので千切れる場合がある。グレードでは初日・最終日とやらかす傾向がある。
中井 達郎,51,S級2班,静岡,伊東,74期,追い込み,,✕,◯,△,✕,✕,△,△,✕,△,△,△,◯,✕,,,,
中川 勝貴,30,S級2班,福井,福井,109期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
中川 貴徳,41,S級2班,栃木,宇都宮,91期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
中島 詩音,27,S級2班,山梨,,119期,先行,捲,△,✕,,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,PIST６なら強いんだけどね・・・。逃げるか逃げないのかがわからない。
中嶋 宣成,35,S級2班,長野,,113期,先行,捲,△,✕,,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
